'[17:07:30.364]',0.510,0.415,1.095,0.301,1.468,62.169
'[17:07:30.372]',0.515,0.415,1.105,0.301,1.458,61.856
'[17:07:30.380]',0.525,0.410,1.125,0.301,1.448,61.543
'[17:07:30.388]',0.535,0.400,1.150,0.302,1.435,61.231
'[17:07:30.396]',0.545,0.395,1.180,0.303,1.420,60.996
'[17:07:30.404]',0.555,0.385,1.210,0.303,1.405,60.684
'[17:07:30.412]',0.565,0.375,1.246,0.304,1.388,60.371
'[17:07:30.420]',0.575,0.365,1.275,0.305,1.370,60.059
'[17:07:30.428]',0.590,0.360,1.295,0.306,1.352,59.746
'[17:07:30.436]',0.600,0.355,1.300,0.306,1.332,59.472
'[17:07:30.444]',0.610,0.350,1.295,0.307,1.317,59.472
'[17:07:30.452]',0.615,0.350,1.266,0.309,1.303,60.176
'[17:07:30.460]',0.620,0.345,1.226,0.310,1.286,62.364
'[17:07:30.468]',0.620,0.345,1.170,0.312,1.269,66.623
'[17:07:30.476]',0.615,0.350,1.110,0.315,1.250,72.602
'[17:07:30.484]',0.610,0.350,1.041,0.317,1.231,79.635
'[17:07:30.492]',0.600,0.355,0.976,0.320,1.212,86.942
'[17:07:30.500]',0.585,0.365,0.915,0.323,1.195,94.562
'[17:07:30.508]',0.570,0.375,0.870,0.326,1.178,102.260
'[17:07:30.516]',0.555,0.380,0.835,0.329,1.162,109.450
'[17:07:30.524]',0.545,0.390,0.815,0.331,1.148,115.506
'[17:07:30.532]',0.535,0.395,0.800,0.333,1.134,120.039
'[17:07:30.540]',0.530,0.400,0.790,0.335,1.125,123.048
'[17:07:30.548]',0.525,0.405,0.790,0.335,1.115,124.572
'[17:07:30.556]',0.525,0.405,0.790,0.335,1.104,124.806
'[17:07:30.564]',0.525,0.405,0.790,0.334,1.093,124.103
'[17:07:30.572]',0.525,0.410,0.790,0.333,1.082,122.735
'[17:07:30.580]',0.525,0.415,0.795,0.333,1.072,120.977
'[17:07:30.588]',0.520,0.415,0.800,0.332,1.064,118.945
'[17:07:30.596]',0.525,0.415,0.800,0.331,1.056,116.678
'[17:07:30.604]',0.525,0.415,0.805,0.330,1.049,114.451
'[17:07:30.612]',0.520,0.415,0.811,0.327,1.043,112.263
'[17:07:30.620]',0.520,0.415,0.811,0.325,1.037,110.192
'[17:07:30.628]',0.525,0.410,0.811,0.322,1.031,108.238
'[17:07:30.636]',0.525,0.410,0.811,0.318,1.025,106.363
'[17:07:30.644]',0.525,0.415,0.805,0.314,1.023,104.487
'[17:07:30.652]',0.525,0.415,0.805,0.311,1.023,102.572
'[17:07:30.660]',0.520,0.415,0.800,0.307,1.021,100.501
'[17:07:30.668]',0.515,0.420,0.795,0.302,1.016,98.313
'[17:07:30.676]',0.510,0.420,0.795,0.299,1.009,95.851
'[17:07:30.684]',0.510,0.420,0.795,0.295,1.003,93.312
'[17:07:30.692]',0.510,0.420,0.795,0.291,1.000,90.693
'[17:07:30.700]',0.510,0.420,0.790,0.288,1.007,88.115
'[17:07:30.708]',0.510,0.420,0.785,0.285,1.030,85.692
'[17:07:30.716]',0.510,0.420,0.785,0.282,1.079,83.543
'[17:07:30.724]',0.510,0.425,0.785,0.279,1.161,81.667
'[17:07:30.732]',0.510,0.425,0.785,0.276,1.280,79.987
'[17:07:30.740]',0.505,0.425,0.790,0.273,1.407,78.619
'[17:07:30.748]',0.505,0.425,0.790,0.270,1.548,77.447
'[17:07:30.756]',0.505,0.425,0.785,0.267,1.728,76.626
'[17:07:30.764]',0.510,0.425,0.790,0.264,1.927,76.001
'[17:07:30.772]',0.510,0.420,0.790,0.262,2.128,75.571
'[17:07:30.780]',0.510,0.420,0.790,0.260,2.321,75.376
'[17:07:30.788]',0.510,0.420,0.790,0.258,2.493,75.259
'[17:07:30.796]',0.510,0.420,0.790,0.257,2.640,75.298
'[17:07:30.804]',0.510,0.415,0.795,0.256,2.759,75.376
'[17:07:30.812]',0.515,0.415,0.795,0.255,2.848,75.493
'[17:07:30.820]',0.515,0.415,0.795,0.255,2.912,75.689
'[17:07:30.828]',0.520,0.415,0.800,0.255,2.952,75.806
'[17:07:30.836]',0.540,0.400,0.811,0.255,2.971,75.923
'[17:07:30.844]',0.565,0.385,0.830,0.255,2.969,75.923
'[17:07:30.852]',0.585,0.375,0.840,0.255,2.954,75.884
'[17:07:30.860]',0.600,0.365,0.855,0.255,2.932,75.689
'[17:07:30.868]',0.615,0.355,0.860,0.255,2.901,75.493
'[17:07:30.876]',0.635,0.345,0.840,0.255,2.865,75.181
'[17:07:30.884]',0.645,0.340,0.805,0.255,2.824,74.868
'[17:07:30.892]',0.650,0.340,0.775,0.255,2.778,74.438
'[17:07:30.900]',0.635,0.345,0.766,0.255,2.728,74.008
'[17:07:30.908]',0.605,0.355,0.766,0.255,2.674,73.500
'[17:07:30.916]',0.560,0.380,0.771,0.255,2.614,72.992
'[17:07:30.924]',0.525,0.410,0.780,0.255,2.549,72.445
'[17:07:30.932]',0.500,0.425,0.780,0.255,2.479,71.859
'[17:07:30.940]',0.485,0.430,0.785,0.255,2.411,71.351
'[17:07:30.948]',0.485,0.430,0.785,0.255,2.342,70.804
'[17:07:30.956]',0.490,0.425,0.785,0.255,2.264,70.257
'[17:07:30.964]',0.495,0.425,0.805,0.254,2.181,69.671
'[17:07:30.972]',0.525,0.415,0.840,0.254,2.095,69.163
'[17:07:30.980]',0.620,0.355,0.785,0.252,2.009,68.694
'[17:07:30.988]',0.800,0.225,0.515,0.251,1.925,68.186
'[17:07:30.996]',0.990,0.060,0.080,0.250,1.844,67.756
'[17:07:31.004]',1.030,0.010,-0.215,0.249,1.769,67.287
'[17:07:31.012]',0.780,0.135,-0.246,0.247,1.702,66.858
'[17:07:31.020]',0.525,0.320,-0.030,0.246,1.643,66.428
'[17:07:31.028]',0.410,0.440,0.229,0.244,1.593,66.037
'[17:07:31.036]',0.405,0.465,0.545,0.243,1.552,65.607
'[17:07:31.044]',0.455,0.450,0.815,0.241,1.522,65.256
'[17:07:31.052]',0.465,0.440,0.955,0.239,1.500,64.865
'[17:07:31.060]',0.465,0.440,1.010,0.238,1.483,64.474
'[17:07:31.068]',0.470,0.440,1.035,0.237,1.469,64.122
'[17:07:31.076]',0.470,0.440,1.055,0.236,1.459,63.732
'[17:07:31.084]',0.475,0.440,1.061,0.235,1.452,63.497
'[17:07:31.092]',0.480,0.435,1.065,0.235,1.446,63.185
